,nombre,seguidores,foto,popularidad,generos
251,MC L da Vinte,786852,https://i.scdn.co/image/ab6761610000e5ebc8e9b8e9d6b016c4ea287b1c,68,funk ostentacao
251,MC L da Vinte,786852,https://i.scdn.co/image/ab6761610000e5ebc8e9b8e9d6b016c4ea287b1c,68,funk rj
252,MC Gury,404258,https://i.scdn.co/image/ab6761610000e5eb51e1dfb79c209376fe5cb858,67,funk carioca
252,MC Gury,404258,https://i.scdn.co/image/ab6761610000e5eb51e1dfb79c209376fe5cb858,67,funk ostentacao
252,MC Gury,404258,https://i.scdn.co/image/ab6761610000e5eb51e1dfb79c209376fe5cb858,67,funk paulista
253,Olodum,186791,https://i.scdn.co/image/c3ef77c1c27ec33d3356ca7665b09aaf2bfe1c23,49,axe
253,Olodum,186791,https://i.scdn.co/image/c3ef77c1c27ec33d3356ca7665b09aaf2bfe1c23,49,brazilian percussion
253,Olodum,186791,https://i.scdn.co/image/c3ef77c1c27ec33d3356ca7665b09aaf2bfe1c23,49,mpb
253,Olodum,186791,https://i.scdn.co/image/c3ef77c1c27ec33d3356ca7665b09aaf2bfe1c23,49,pagode
253,Olodum,186791,https://i.scdn.co/image/c3ef77c1c27ec33d3356ca7665b09aaf2bfe1c23,49,samba
253,Olodum,186791,https://i.scdn.co/image/c3ef77c1c27ec33d3356ca7665b09aaf2bfe1c23,49,samba reggae
254,Harry Styles,25734339,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,91,pop
255,Supershy,17478,https://i.scdn.co/image/ab6761610000e5eb856fcd90eaba7a36dcf32e48,52,indie soul
256,L'Impératrice,429245,https://i.scdn.co/image/ab6761610000e5eb60dd5e2c9859aba67824fc05,62,french indie pop
256,L'Impératrice,429245,https://i.scdn.co/image/ab6761610000e5eb60dd5e2c9859aba67824fc05,62,french indietronica
256,L'Impératrice,429245,https://i.scdn.co/image/ab6761610000e5eb60dd5e2c9859aba67824fc05,62,french synthpop
256,L'Impératrice,429245,https://i.scdn.co/image/ab6761610000e5eb60dd5e2c9859aba67824fc05,62,new french touch
257,Cristobal Tapia De Veer,36820,https://i.scdn.co/image/ab6761610000e5ebbe246682bef37c0895a0e5de,62,canadian soundtrack
258,Armin van Buuren,4190216,https://i.scdn.co/image/ab6761610000e5eb5328c468cef8019bc41b63a8,75,dutch trance
258,Armin van Buuren,4190216,https://i.scdn.co/image/ab6761610000e5eb5328c468cef8019bc41b63a8,75,edm
258,Armin van Buuren,4190216,https://i.scdn.co/image/ab6761610000e5eb5328c468cef8019bc41b63a8,75,pop dance
258,Armin van Buuren,4190216,https://i.scdn.co/image/ab6761610000e5eb5328c468cef8019bc41b63a8,75,progressive house
258,Armin van Buuren,4190216,https://i.scdn.co/image/ab6761610000e5eb5328c468cef8019bc41b63a8,75,trance
259,Nyan Cat,19175,https://i.scdn.co/image/ab67616d0000b2732df7df9d8b6355d1b7fe1ce0,30,
260,Jamiroquai,2062940,https://i.scdn.co/image/ab6761610000e5eb7e6dca959714339b69e9718d,68,dance pop
261,Margaux Avril,7038,https://i.scdn.co/image/ab6761610000e5eb99c345f6068c487ad732cb28,17,
262,BB Brunes,187713,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f,49,chanson
262,BB Brunes,187713,https://i.scdn.co/image/ab6761610000e5eb6971278da3fc32512405258f,49,french garage rock
